번호	뜻	한자	훈독	음독
1	노래 가	歌	か	うた
2	집 가	家	か、け	いえ、や
3	더할 가	加	か	くわえる、くわわる
4	거리 가	街	がい、かい	まち
5	값 가	価	か	あたい
6	옳을 가	可	か	
7	거짓 가	仮	か、け	かり
8	아름다울 가	佳	か	
9	가혹할 가	苛	か	いら
10	시렁 가	架	か	かける、かかる
11	시집갈 가	嫁	か	よめ、とつぐ
12	틈/겨를 가	暇	か	ひま
13	심을 가	稼	か	かせぐ
14	뿔 각	角	かく	かど、つの
15	각각 각	各	かく	おの
16	깨달을 각	覚	かく	おぼえる、さます、さめる
17	새길 각	刻	こく	きざむ
18	집 각	閣	かく	
19	물리칠 각	却	きゃく	
20	껍질 각	殻	かく	から
21	다리 각	脚	きゃく、きゃ	あし
22	사이 간	間	かん、けん	あいだ、ま
23	새길 간	刊	かん	
24	줄기 간	幹	かん	みき
25	방패 간	干	かん	ほす、ひる
26	볼 간	看	かん	
27	대쪽 간	簡	かん	
28	간 간	肝	かん	きも
29	개간할 간	墾	こん	
30	간절할 간	懇	こん	ねんごろ
31	꾸짖을 갈	喝	かつ	
32	목마를 갈	渇	かつ	かわく
33	칡 갈	葛	かつ	くず
34	갈색 갈	褐	かつ	
35	느낄 감	感	かん	
36	덜 감	減	げん	へる、へらす
37	달 감	甘	かん	あまい、あまえる、あまやかす、あまんじる
38	헤아릴 감	勘	かん	
39	감색 감	紺	こん	
40	견딜 감	堪	かん、たん	たえる
41	감히 감	敢	かん	あえて
42	볼 감	監	かん	
43	섭섭할 감	憾	かん	
44	거울 감	鑑	かん	かんがみる
45	갑옷 갑	甲	こう、かん	
46	곶 갑	岬		みさき
47	강할 강	強	きょう、ごう	つよい、つよまる、つよめる、しいる
48	편안할 강	康	こう	
49	외울 강	講	こう	
50	내릴 강/항복할 항	降	こう	おりる、おろす、ふる
51	강철 강	鋼	こう	はがね
52	강 강	江	こう	え
53	언덕 강	丘		
54	굳셀 강	剛	ごう	
55	벼리 강	綱	こう	つな
56	열 개	開	かい	ひらく、ひらける、あく、あける
57	고칠 개	改	かい	あらためる、あらたまる
58	낱 개	個	こ	
59	끼일 개	介	かい	
60	다 개	皆	かい	みな
61	분개할 개	慨	がい	
62	덮을 개	蓋	がい	ふた
63	낱 개	箇	か	
64	대개 개	概	がい	
65	손 객	客	きゃく、かく	
66	구덩이 갱	坑	こう	
67	갈 거	去	きょ、こ	さる
68	들 거	挙	きょ	あがる、あげる
69	살 거	居	きょ	いる
70	클 거	巨	きょ	
71	막을 거	拒	きょ	こばむ
72	근거 거	拠	きょ	
73	일할 거	据		すえる、すわる
74	떨어질 거	距	きょ	
75	옷자락 거	裾		すそ
76	세울 건	建	けん、こん	たてる、たつ
77	굳셀 건	健	けん	すこやか
78	물건 건	件	けん	
79	수건 건	巾	きん	
80	마를 건	乾	かん	かわく、かわかす
81	열쇠 건	鍵	けん	かぎ
82	빌 걸	乞		こう
83	뛰어날 걸	傑	けつ	
84	검사할 검	検	けん	
85	검소할 검	倹	けん	
86	칼 검	剣	けん	つるぎ
87	걸 게	掲	けい	かかげる
88	쉴 게	憩	けい	いこう
89	격식 격	格	かく、こう	
90	격할 격	激	げき	はげしい
91	사이뜰 격	隔	かく	へだてる、へだたる
92	칠 격	撃	げき	うつ
93	개 견	犬	けん	いぬ
94	볼 견	見	けん	みる、みえる、みせる
95	비단 견	絹	けん	きぬ
96	어깨 견	肩	けん	かた
97	굳을 견	堅	けん	かたい
98	보낼 견	遣	けん	つかう、つかわす
99	고치 견	繭	けん	まゆ
100	결단할 결	決	けつ	きめる、きまる
101	이지러질 결	欠	けつ	かける、かく、かかす
102	맺을 결	結	けつ	むすぶ、ゆう、ゆわえる
103	깨끗할 결	潔	けつ	いさぎよい
104	겸할 겸	兼	けん	かねる
